,,Anul II Seria A,,,,,,,,,Anul II Seria B,,,,,,,,,Anul II Seria C,,,,,,,,,Anul II Seria D,,,,,,,,,Anul II Seria E,,,,,,,,,Anul II Seria F,,,,,,,,,Anul II Seria G,,,,,,,,,curs,curs,curs,sem,,,,,,,,
,13-14,ASC (l) / CE (l),,CE (l) / ASC (l),,"Man (s) / -
B122 / --",,"-- / Man (s)
-- / B122",,,"AMP (l)
/ ---","--- /
AMP (l)","Man (s) / --
B12 / --",,Sport,,"-- / Man (s)
-- / B12",,,"O4 Management (curs)
prof. I. Grecu",,,,,,,,A05,,,,,CID (s+l),,"CEF (s)
B218",,,"O4 Management (curs)
prof. B. Fleacă",,,,,,,,B219b,"AMP (curs)
prof. Horia Cucu",,,,,,,,B110,"CID (curs)
Prof. Z. Hascsi",,,,,,,,A101,1,1,1,3,1,1,1,,0,"Activitate didactică
opţională",,"Act. Săpt impară /
/ ---"
,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,A05,,,,,,,,,,,,,,,,,,B219b,,,,,,,,,B110,,,,,,,,,A101,1,1,1,,,,,,0,,,
,15-16,,,,,Sport,,Sport,,,,,,,"ASC (s)
B219b",,Sport,,,,,,,,,,,,"CEF (s)
B122",,,,,,,,,,CID (s+l),,,,CID (s+l),,,,"O4 Management (curs)
prof. I. Grecu",,,,,,,,B110,"O4 Management (curs)
prof. B. Alexandrescu",,,,,,,,A05,1,1,0,2,3,,2,0,0,,,
,16-17,ASC (l) / --,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B110,,,,,,,,,A05,1,1,0,,,,,,0,,,
,17-18,,,,,,,,,,,,,,,,"AMP (l)
/ ---","--- /
AMP (l)",,,,,,,,,,,CID (s+l),,,,,,,,,ASC (l) / CE (l),,CE (l) / ASC (l),,,,,,,,,"Man (s) / --
B218 / --",,,,"-- / Man (s)
-- / B218",,,,,,,,,,,,0,0,0,1,0,2,1,,0,,,
,18-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,0,0,,,
,19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,,0,,,
,20-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASC (l) / --,,-- / ASC (l),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
ASC (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
AMP (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
CEF (curs),,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3,,2,,,,,,,,,5,,,,,,,,,2,,,,,,,,,2,,,,,,,,,3,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
O4,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID (s+l),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
Man (s),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
CE (l),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
ASC (l),,2,,2,,2,,2,,,2,,2,,2,,2,,,2,,2,,2,,2,,,2,,2,,2,,2,,,1,,1,,2,,2,,,2,,2,,2,,2,,,2,,2,,2,,2,,,,,,,,,,,,,,
AMP (l),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
CEF (s),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,2,,,,1,,,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
ASC (s),,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
Sport,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,2,,,1,,1,,1,,1,,,1,,1,,1,,1,,,1,,1,,1,,1,,,,,,,,,,,,,,
